id,date,message,karma,parent
b70fb948ba5067,2016-07-06 23:59:00.000000,Wie kann er sich denn sowas nur durch die Lappen gehen lassen 🙈🙈,1,edb5d580b1d062
b72fb948ba5067,2016-07-06 23:59:00.000000,Ja ,1,719b47e6f1e063
b73d0f0fe0907c,2016-07-06 23:59:00.000000,Wo xD  Ich guck gerade Autopsie 😱,3,9f26d18a81906e
b75523ec61c064,2016-07-06 23:59:00.000000,Verstehe einer mal jodel! Sehr komisch alles,9,973f3331011784
b4e92e300d36b2,2016-07-06 23:59:00.000000,"Morgens einen Cappuccino-kopf, dann ist man wieder fit 👌",1,b0912a8e31c066
b4ff3331011784,2016-07-06 23:59:00.000000,I know that feeling,3,5345d580b1d062
b51c670771f06b,2016-07-06 23:59:00.000000,aber danke für die aufmunternden Worte 💕 ,6,71323888e5e6a9
b5486c3e36f41c,2016-07-06 23:59:00.000000,"Tja ich katholik und konservativ schau mit meiner freundin staffelfinale got, bin raus, sry leute 👌😄",2,8f056cddf1a068
b58b47e6f1e063,2016-07-06 23:59:00.000000,"Ich finde es deshalb needy, weil die Person nur deshalb in die Mensa Vita geht, um dann auf Teufel komm raus nen Mädel anzusprechen. Vll ist sie attraktiv, vor allem soll sich die Fahrt gelohnt haben.",3,45db47e6f1e063
b59523ec61c064,2016-07-06 23:59:00.000000,Also ich will dann eig nur schlafen. Muss dich leider enttäuschen ,4,7f57bcce2dd759
b5dc670771f06b,2016-07-06 23:59:00.000000,Den Zocker würde ich abstechen 😂,10,b86e6d11853437
b6248dc5b1b061,2016-07-06 23:59:00.000000,Gibt's jetzt ein Treffen oder nicht? ,4,19472a3e00c07a
b63ffe1014e069,2016-07-06 23:59:00.000000,Und dann im ranked system relativ low denke ich :D,1,88e92e300d36b2
b6348dc5b1b061,2016-07-06 23:59:00.000000,"Hab mal auf nem Polterabend mit einer 29 jährigen rumgemacht, die hatte einen Freund zu Hause aber wollte noch mal richtig Spaß haben, bevor sie 30 Jahre alt wird. Bis auf rumknutschen war aber nix, wir hatten kein Kondom. Da war ich 22.",1,328aced5906558
b5e12a8e31c066,2016-07-06 23:59:00.000000,Ruf die Sherriffs!,4,aa7cd7573bf6bb
b6acd7573bf6bb,2016-07-06 23:59:00.000000,"Heute laufen männer in leggins rum, früher mit Picaldi jacke.",6,
b6c23888e5e6a9,2016-07-06 23:59:00.000000,Komm mach auf mir ist kalt! ,8,ac3f3331011784
b7648dc5b1b061,2016-07-06 23:59:00.000000,Links und rechts schon besetzt. Hab jetzt das Feld geräumt um nicht unnötig im Weg zu sein. Viel Erfolg an meine beiden Kollegen. Hoffe es klappt. ;),1,3685eff9082057
b49cd7573bf6bb,2016-07-06 23:59:00.000000,"nein! vermeide den kontakt, klingt vlly verlockend ne gute freundin, gleich interessen, aber wenn du dir deswegen jetzt schon nen kopf machst, wird sie dich mal viel mehr interessieren als für die bez. gut ist, spreche aus Erfahrung",14,a2956cddf1a068
b61523ec61c064,2016-07-06 23:59:00.000000,Bei völliger Ahnungslosigkeit:  BWL: durch stures auswendig lernen kann man punkte holen Technische Studiengänge: wird man keine Punkte holen können #manhilftwomankann ,22,774ffe1014e069
b498ef8ccab06e,2016-07-06 23:59:00.000000,"1,68 80kg ....",6,6e68ef8ccab06e
b4a7bedeaa8067,2016-07-06 23:59:00.000000,Was für schöne Zeiten Mensch 😢😍,3,45d9e1af4fd779
b712c9df3726a0,2016-07-06 23:59:00.000000,"An denjenigen der mir gerade mein Myrapla im Schinkel weggeschnappt hat, zur Hölle mit dir. ",12,
b48d0f0fe0907c,2016-07-06 23:59:00.000000,"Drei Chinesen mit dem Kontrabass,  Saßen auf der Straße und erzählten sich was, Der eine hat tourette ja was ist denn das, Fotze!",3,631fb948ba5067
b4ed0f0fe0907c,2016-07-06 23:59:00.000000,"Obwohl ihr anläuft" 🙃,8,973f3331011784
b7486c3e36f41c,2016-07-06 23:59:00.000000,Schlafen hier schon alle ? 👀,7,
b7b8ef8ccab06e,2016-07-06 23:59:00.000000,Hauptsache die ganze Zeit beim Arbeiten Jodel - Werbung hören... Oh man😂,2,
b7b2c9df3726a0,2016-07-06 23:59:00.000000,er drückt mich weg  und meint er hätte Kopfweh  😣,3,edb5d580b1d062
